sample,finger,manipulability,dexterity,x,y,z
4,middle,0.0001701055924648853,0.1474666073765302,-0.005695637918550809,0.13919749038093093,0.05574342078054509
4,ring,9.541810803968764e-05,0.14754947425285211,-0.029580653799789546,0.12793581871154464,0.07029601290805168
4,pinky,2.744501882312753e-05,0.09815987607025453,-0.04310448272215063,0.029802543443578598,0.10004356071480994
5,thumb,0.00012380366288724682,0.1425058466223392,0.07088528490147744,0.055765239921583054,-0.012908072485709392
5,index,0.00012710337846464457,0.12028614537944561,0.03190471198385369,0.09461121644777323,0.09123640714544953
5,middle,0.0001530463270291605,0.11206953435079822,0.011961700112520951,0.10059037025497423,0.08089611625741935
5,ring,1.1690661381578971e-05,0.08687309001650723,-0.01392682670892008,0.03136709473131163,0.08682387090377039
5,pinky,0.00019317531430236744,0.1455182845768835,-0.06938155030487872,0.11928466579614833,0.01929703657895931
6,thumb,0.00020037340415285357,0.13050867380386824,0.10576158577726857,0.022063808954165712,0.049742956400057145
6,index,9.060925894420356e-05,0.09296749492752143,0.04189313792048495,0.0642812336350138,0.08573522219710311
6,middle,4.4366278446008745e-05,0.1096680605495717,0.007197471714903782,0.06814895094301866,0.10781579004470124
6,ring,1.1526031653226951e-05,0.13824941914073588,-0.012731651108838546,0.1134018842947796,0.08978784612054319
6,pinky,0.00016352763090139318,0.1507856267341955,-0.07583260673649653,0.12137567544809008,0.014334000433577236
7,thumb,7.199333855996358e-06,0.14983003921660043,0.056596991575984995,0.06797285215583686,0.07426338503729872
7,index,1.843394310256117e-05,0.10471436480727454,0.04233185718462685,0.03952483808018177,0.10753524040057973
7,middle,6.9078333839462e-05,0.15258028417547573,0.003207663566815115,0.1426430620583474,0.06280412486609407
7,ring,0.00011819057539361645,0.1155021268285024,-0.011093450113595558,0.08759582785706986,0.0937117448979706
7,pinky,5.162212595849779e-05,0.0838616348347689,-0.04198834136325594,0.03678776599860706,0.08218069098800976
8,thumb,0.0001407295088607704,0.12221743993815093,-0.017868950624556647,0.034575927449377604,-0.031001108584482753
8,index,0.00016045541779233517,0.12499490253824302,0.05561588472959583,0.1036750359424069,0.08070432053195242
8,middle,0.00014912757262145528,0.1225518427517914,0.022149612184099395,0.10813368572479913,0.08475790731627963
8,ring,5.868194846824702e-05,0.12193785233762518,-0.03045023090909251,0.08460853347879609,0.10294181134589678
